name,type_of_meteorite,mass_g,fell_found,year,database,coordinate_1,coordinates_2,cartodb_id,created_at,updated_at,year_date,long,lat,geojson
Denise Wolf,Researcher,1,UCSF,1995,http://ppfp.ucop.edu/info/,37.76,-122.46,350,56:02.8,11:51.9,1/1/1967 0:00,-122.46,37.76,"{""type"":""Point"",""coordinates"":[-122.46,37.76]}"
Errol Lobo,Associate Professor,1,UC San Francisco,1992,http://ppfp.ucop.edu/info/,37.76,-122.46,351,56:02.8,11:51.9,1/1/1967 0:00,-122.46,37.76,"{""type"":""Point"",""coordinates"":[-122.46,37.76]}"
Howard Pinderhughes,Associate Professor,1,UC San Francisco,1991,http://ppfp.ucop.edu/info/,37.76,-122.46,352,56:02.8,11:51.9,1/1/1967 0:00,-122.46,37.76,"{""type"":""Point"",""coordinates"":[-122.46,37.76]}"
Felipe de Jesus Cortez,PPFP Fellow (WOS),1,UC San Francisco,2012,http://ppfp.ucop.edu/info/,37.76,-122.46,353,56:02.8,11:51.9,1/1/1967 0:00,-122.46,37.76,"{""type"":""Point"",""coordinates"":[-122.46,37.76]}"
Deborah W. Hendricks,PPFP Fellow (WOS),1,UC San Francisco,2012,http://ppfp.ucop.edu/info/,37.76,-122.46,354,56:02.8,11:51.9,1/1/1967 0:00,-122.46,37.76,"{""type"":""Point"",""coordinates"":[-122.46,37.76]}"
Kevin Moseby,PPFP Fellow,1,UC San Francisco,2012,http://ppfp.ucop.edu/info/,37.76,-122.46,355,56:02.8,11:51.9,1/1/1967 0:00,-122.46,37.76,"{""type"":""Point"",""coordinates"":[-122.46,37.76]}"
Frank Bandiera,PPFP Fellow (WOS),1,UC San Francisco,2012,http://ppfp.ucop.edu/info/,37.76,-122.46,356,56:02.8,11:51.9,1/1/1967 0:00,-122.46,37.76,"{""type"":""Point"",""coordinates"":[-122.46,37.76]}"
Lisa Mendoza,Assisant Director,1,Bayer Health Services,1993,http://ppfp.ucop.edu/info/,37.78,-122.38,357,56:02.8,11:51.9,1/1/1967 0:00,-122.38,37.78,"{""type"":""Point"",""coordinates"":[-122.38,37.78]}"
Marni Goldman,Associate Research Scientist,1,Stanford University,1997,http://ppfp.ucop.edu/info/,37.44,-122.15,358,56:02.8,11:51.9,1/1/1967 0:00,-122.15,37.44,"{""type"":""Point"",""coordinates"":[-122.15,37.44]}"
Todd J. Martinez,Professor,1,Stanford University,1995,http://ppfp.ucop.edu/info/,37.44,-122.15,359,56:02.8,11:51.9,1/1/1967 0:00,-122.15,37.44,"{""type"":""Point"",""coordinates"":[-122.15,37.44]}"
Daphne Koller,Professor,1,Stanford University,1993,http://ppfp.ucop.edu/info/,37.44,-122.15,360,56:02.8,11:51.9,1/1/1967 0:00,-122.15,37.44,"{""type"":""Point"",""coordinates"":[-122.15,37.44]}"
Stephen Hong Sohn,Assistant Professor,1,Stanford University,2006,http://ppfp.ucop.edu/info/,37.44,-122.15,361,56:02.8,11:51.9,1/1/1967 0:00,-122.15,37.44,"{""type"":""Point"",""coordinates"":[-122.15,37.44]}"
Angela N. Garcia,Assistant Professor,1,Stanford University,2007,http://ppfp.ucop.edu/info/,37.44,-122.15,362,56:02.8,11:51.9,1/1/1967 0:00,-122.15,37.44,"{""type"":""Point"",""coordinates"":[-122.15,37.44]}"
Melanie P. Lutz,Professor,1,Solano Community College,1995,http://ppfp.ucop.edu/info/,38.32,-122.03,363,56:02.8,11:51.9,1/1/1967 0:00,-122.03,38.32,"{""type"":""Point"",""coordinates"":[-122.03,38.32]}"
Ann Marie Meike,business Development Executive,1,Industrial Partnership Offices,1988,http://ppfp.ucop.edu/info/,37.73,-121.34,364,56:02.8,11:51.9,1/1/1967 0:00,-121.34,37.73,"{""type"":""Point"",""coordinates"":[-121.34,37.73]}"
Jerome T. Gaspard,Scientist,1,Nematec Co,1986,http://ppfp.ucop.edu/info/,37.82,-121.92,365,56:02.8,11:51.9,1/1/1967 0:00,-121.92,37.82,"{""type"":""Point"",""coordinates"":[-121.92,37.82]}"
Lucretia Bolin,Family Nurse Practioner,1,Oakland Medical Center,1992,http://ppfp.ucop.edu/info/,37.87,-122.16,366,56:02.8,11:51.9,1/1/1967 0:00,-122.16,37.87,"{""type"":""Point"",""coordinates"":[-122.16,37.87]}"
Tania Triana,"Editor, Translator, Tutor",1,Self-Employed,2004,http://ppfp.ucop.edu/info/,37.83,-122.29,367,56:02.8,11:51.9,1/1/1967 0:00,-122.29,37.83,"{""type"":""Point"",""coordinates"":[-122.29,37.83]}"
Lisa Dyson,CEO and co-founder,1,Sequesco,2007,http://ppfp.ucop.edu/info/,37.87,-122.27,368,56:02.8,11:51.9,1/1/1967 0:00,-122.27,37.87,"{""type"":""Point"",""coordinates"":[-122.27,37.87]}"
Alexandra von Meier,Co-Director,1,California Institute for Energy and Enviroment,1995,http://ppfp.ucop.edu/info/,37.87,-122.23,369,56:02.8,11:51.9,1/1/1967 0:00,-122.23,37.87,"{""type"":""Point"",""coordinates"":[-122.23,37.87]}"
Forest Rouse,Engineer,1,ICEM CFD Engineering,1987,http://ppfp.ucop.edu/info/,37.88,-122.21,370,56:02.8,11:51.9,1/1/1967 0:00,-122.21,37.88,"{""type"":""Point"",""coordinates"":[-122.21,37.88]}"
Gerard R. Lazo,Scientist,1,United States Department of Agriculture,1988,http://ppfp.ucop.edu/info/,37.9,-122.28,371,56:02.8,11:51.9,1/1/1967 0:00,-122.28,37.9,"{""type"":""Point"",""coordinates"":[-122.28,37.9]}"
Thornton Glover,Staff Scientist,1,Advanced Light Source,1994,http://ppfp.ucop.edu/info/,37.88,-122.24,372,56:02.8,11:51.9,1/1/1967 0:00,-122.24,37.88,"{""type"":""Point"",""coordinates"":[-122.24,37.88]}"
Mary W.C. Louie,Postdoctoral Scholar,1,LBNL,2011,http://ppfp.ucop.edu/info/,37.88,-122.24,373,56:02.8,11:51.9,1/1/1967 0:00,-122.24,37.88,"{""type"":""Point"",""coordinates"":[-122.24,37.88]}"
Katherine Ann Dunphy (Guzman),Senior Member of Techical Staff,1,"Sandia National Laboratory, Livermore, CA",2004,http://ppfp.ucop.edu/info/,37.88,-122.24,374,56:02.8,11:51.9,1/1/1967 0:00,-122.24,37.88,"{""type"":""Point"",""coordinates"":[-122.24,37.88]}"
Suman M. Paranjape,Molecular Virologist,1,U.S. Department of State Biosecurity Program,2003,http://ppfp.ucop.edu/info/,37.88,-122.24,375,56:02.8,11:51.9,1/1/1967 0:00,-122.24,37.88,"{""type"":""Point"",""coordinates"":[-122.24,37.88]}"
S. Patricia Patricia Baquedano-Lopez,Associate Professor,1,UC Berkeley,1998,http://ppfp.ucop.edu/info/,37.88,-122.24,376,56:02.8,11:51.9,1/1/1967 0:00,-122.24,37.88,"{""type"":""Point"",""coordinates"":[-122.24,37.88]}"
Ellen Fernandez-Sacco,Visiting Scholar,1,UC Berkeley,1998,http://ppfp.ucop.edu/info/,37.88,-122.24,377,56:02.8,11:51.9,1/1/1967 0:00,-122.24,37.88,"{""type"":""Point"",""coordinates"":[-122.24,37.88]}"
Rachel Morello-Frosch,Associate Professor,1,UC Berkeley,1997,http://ppfp.ucop.edu/info/,37.88,-122.24,378,56:02.8,11:51.9,1/1/1967 0:00,-122.24,37.88,"{""type"":""Point"",""coordinates"":[-122.24,37.88]}"
Jeanne Panek,Associate Research Specialist,1,UC Berkeley,1997,http://ppfp.ucop.edu/info/,37.88,-122.24,379,56:02.8,11:51.9,1/1/1967 0:00,-122.24,37.88,"{""type"":""Point"",""coordinates"":[-122.24,37.88]}"
Lisa Alvarez-Cohen,Professor,1,UC Berkeley,1990,http://ppfp.ucop.edu/info/,37.88,-122.24,380,56:02.8,11:51.9,1/1/1967 0:00,-122.24,37.88,"{""type"":""Point"",""coordinates"":[-122.24,37.88]}"
Kimberly TallBear,Assistant Professor,1,UC Berkeley,2007,http://ppfp.ucop.edu/info/,37.88,-122.24,381,56:02.8,11:51.9,1/1/1967 0:00,-122.24,37.88,"{""type"":""Point"",""coordinates"":[-122.24,37.88]}"
Kristie Ibarra,Postdoctoral Scholar,1,UC Berkeley,2011,http://ppfp.ucop.edu/info/,37.88,-122.24,382,56:02.8,11:51.9,1/1/1967 0:00,-122.24,37.88,"{""type"":""Point"",""coordinates"":[-122.24,37.88]}"
Scott Moura,Assistant Professor,1,UC Berkeley,2011,http://ppfp.ucop.edu/info/,37.88,-122.24,383,56:02.8,11:51.9,1/1/1967 0:00,-122.24,37.88,"{""type"":""Point"",""coordinates"":[-122.24,37.88]}"
Jairo Velasco,PPFP Fellow,1,UC Berkeley,2012,http://ppfp.ucop.edu/info/,37.88,-122.24,384,56:02.8,11:51.9,1/1/1967 0:00,-122.24,37.88,"{""type"":""Point"",""coordinates"":[-122.24,37.88]}"
Cindy Rose Bello,PPFP Fellow,1,UC Berkeley,2012,http://ppfp.ucop.edu/info/,37.88,-122.24,385,56:02.8,11:51.9,1/1/1967 0:00,-122.24,37.88,"{""type"":""Point"",""coordinates"":[-122.24,37.88]}"
Darieck Bruce Scott,Associate Professor,1,"University of California, Berkeley",2001,http://ppfp.ucop.edu/info/,37.88,-122.24,386,56:02.8,11:51.9,1/1/1967 0:00,-122.24,37.88,"{""type"":""Point"",""coordinates"":[-122.24,37.88]}"
Melinda Yuen-Ching Chen,Assistant Professor,1,"University of California, Berkeley",2004,http://ppfp.ucop.edu/info/,37.88,-122.24,387,56:02.8,11:51.9,1/1/1967 0:00,-122.24,37.88,"{""type"":""Point"",""coordinates"":[-122.24,37.88]}"
Laura Enriquez,Associate Professor,1,"University of California, Berkeley",1989,http://ppfp.ucop.edu/info/,37.88,-122.24,388,56:02.8,11:51.9,1/1/1967 0:00,-122.24,37.88,"{""type"":""Point"",""coordinates"":[-122.24,37.88]}"
Annette Alicia Angus,Academic Director,1,"University of California, Berkeley",2009,http://ppfp.ucop.edu/info/,37.88,-122.24,389,56:02.8,11:51.9,1/1/1967 0:00,-122.24,37.88,"{""type"":""Point"",""coordinates"":[-122.24,37.88]}"
Chavella T. Pittman,Associate Professor,1,Dominican University,2003,http://ppfp.ucop.edu/info/,38.02,-122.44,390,56:02.8,11:51.9,1/1/1967 0:00,-122.44,38.02,"{""type"":""Point"",""coordinates"":[-122.44,38.02]}"
Hilda Mercedes Romero,Assistant Professor,1,Sonoma State University,2008,http://ppfp.ucop.edu/info/,38.37,-122.67,391,56:02.8,11:51.9,1/1/1967 0:00,-122.67,38.37,"{""type"":""Point"",""coordinates"":[-122.67,38.37]}"
Gregory Sarris,Chairman,1,The Federated Indians of the Graton Rancheria,1989,http://ppfp.ucop.edu/info/,38.37,-122.67,392,56:02.8,11:51.9,1/1/1967 0:00,-122.67,38.37,"{""type"":""Point"",""coordinates"":[-122.67,38.37]}"
Sarah (Ginn) Peelo,Anthropology Instructor,1,Cabrillo College,2009,http://ppfp.ucop.edu/info/,37.08,-121.82,393,56:02.8,11:51.9,1/1/1967 0:00,-121.82,37.08,"{""type"":""Point"",""coordinates"":[-121.82,37.08]}"
Susan D. Pelmulder,Associate Attorney,1,"Flynn, Rose, Perkins",1995,http://ppfp.ucop.edu/info/,37.26,-121.91,394,56:02.8,11:51.9,1/1/1967 0:00,-121.91,37.26,"{""type"":""Point"",""coordinates"":[-121.91,37.26]}"
Daniel James Vasquez,Sales Manager of Modeling and Customer Integration,1, MEMSIC,2007,http://ppfp.ucop.edu/info/,37.5,-121.78,395,56:02.8,11:51.9,1/1/1967 0:00,-121.78,37.5,"{""type"":""Point"",""coordinates"":[-121.78,37.5]}"
Betty Young,Professor,1,Santa Clara University,1991,http://ppfp.ucop.edu/info/,37.35,-121.93,396,56:02.8,11:51.9,1/1/1967 0:00,-121.93,37.35,"{""type"":""Point"",""coordinates"":[-121.93,37.35]}"
Kathleen Crowe,Director of Solutions Delivery,1, Intel Corporation,1996,http://ppfp.ucop.edu/info/,37.42,-121.94,397,56:02.8,11:51.9,1/1/1967 0:00,-121.94,37.42,"{""type"":""Point"",""coordinates"":[-121.94,37.42]}"
Alberto Ivan Roca,"Director of Outreach, Recruitment and Retention",1,SACNAS,2003,http://ppfp.ucop.edu/info/,37.06,-122.16,398,56:02.8,11:51.9,1/1/1967 0:00,-122.16,37.06,"{""type"":""Point"",""coordinates"":[-122.16,37.06]}"
Lionel Cantu,Assistant Professor,1,UC Santa Cruz,1999,http://ppfp.ucop.edu/info/,37.01,-122.05,399,56:02.8,11:51.9,1/1/1967 0:00,-122.05,37.01,"{""type"":""Point"",""coordinates"":[-122.05,37.01]}"
Gina Carol Dent,Associate Professor,1,UC Santa Cruz,1998,http://ppfp.ucop.edu/info/,37.01,-122.05,400,56:02.8,11:51.9,1/1/1967 0:00,-122.05,37.01,"{""type"":""Point"",""coordinates"":[-122.05,37.01]}"
Eric C. Porter,Professor,1,UC Santa Cruz,1998,http://ppfp.ucop.edu/info/,37.01,-122.05,401,56:02.8,11:51.9,1/1/1967 0:00,-122.05,37.01,"{""type"":""Point"",""coordinates"":[-122.05,37.01]}"
Kerstin Wasson,Adjunct Associate Professor,1,UC Santa Cruz,1997,http://ppfp.ucop.edu/info/,37.01,-122.05,402,56:02.8,11:51.9,1/1/1967 0:00,-122.05,37.01,"{""type"":""Point"",""coordinates"":[-122.05,37.01]}"
Eefei Chen,Postgraduate Research Chemistry,1,UC Santa Cruz,1993,http://ppfp.ucop.edu/info/,37.01,-122.05,403,56:02.8,11:51.9,1/1/1967 0:00,-122.05,37.01,"{""type"":""Point"",""coordinates"":[-122.05,37.01]}"
Felicity Schaeffer-Grabiel,Associate Professor,1,UC Santa Cruz,2003,http://ppfp.ucop.edu/info/,37.01,-122.05,404,56:02.8,11:51.9,1/1/1967 0:00,-122.05,37.01,"{""type"":""Point"",""coordinates"":[-122.05,37.01]}"
Alyson Kerry Fletcher,Assistant Professor,1,UC Santa Cruz,2004,http://ppfp.ucop.edu/info/,37.01,-122.05,405,56:02.8,11:51.9,1/1/1967 0:00,-122.05,37.01,"{""type"":""Point"",""coordinates"":[-122.05,37.01]}"
John Carlos Garza,Research Geneticist/Adjunct Professor,1,UC Santa Cruz,1998,http://ppfp.ucop.edu/info/,37.01,-122.05,406,56:02.8,11:51.9,1/1/1967 0:00,-122.05,37.01,"{""type"":""Point"",""coordinates"":[-122.05,37.01]}"
Neda Atanasoski,Assistant Professor,1,UC Santa Cruz,2006,http://ppfp.ucop.edu/info/,37.01,-122.05,407,56:02.8,11:51.9,1/1/1967 0:00,-122.05,37.01,"{""type"":""Point"",""coordinates"":[-122.05,37.01]}"
Sylvanna Martina Falcon,Assistant Professor,1,UC Santa Cruz,2007,http://ppfp.ucop.edu/info/,37.01,-122.05,408,56:02.8,11:51.9,1/1/1967 0:00,-122.05,37.01,"{""type"":""Point"",""coordinates"":[-122.05,37.01]}"
Hector Perla Jr.,Assistant Professor,1,UC Santa Cruz,2006,http://ppfp.ucop.edu/info/,37.01,-122.05,409,56:02.8,11:51.9,1/1/1967 0:00,-122.05,37.01,"{""type"":""Point"",""coordinates"":[-122.05,37.01]}"
Chelsea Blackmore,Assistant Professor,1,UC Santa Cruz,2008,http://ppfp.ucop.edu/info/,37.01,-122.05,410,56:02.8,11:51.9,1/1/1967 0:00,-122.05,37.01,"{""type"":""Point"",""coordinates"":[-122.05,37.01]}"
Marilou P. Sison-Mangus,Assistant Profesor,1,UC Santa Cruz,2009,http://ppfp.ucop.edu/info/,37.01,-122.05,411,56:02.8,11:51.9,1/1/1967 0:00,-122.05,37.01,"{""type"":""Point"",""coordinates"":[-122.05,37.01]}"
Nathaniel William Dumas,Research Associate,1,UC Santa Cruz,2010,http://ppfp.ucop.edu/info/,37.01,-122.05,412,56:02.8,11:51.9,1/1/1967 0:00,-122.05,37.01,"{""type"":""Point"",""coordinates"":[-122.05,37.01]}"
Adrian Felix,Assistant Professor,1,UC Santa Cruz,2011,http://ppfp.ucop.edu/info/,37.01,-122.05,413,56:02.8,11:51.9,1/1/1967 0:00,-122.05,37.01,"{""type"":""Point"",""coordinates"":[-122.05,37.01]}"
Elinor Laura Velasquez,Independent Researcher/ Statistics Instructor,1,UC Santa Cruz,1991,http://ppfp.ucop.edu/info/,37.01,-122.05,414,56:02.8,11:51.9,1/1/1967 0:00,-122.05,37.01,"{""type"":""Point"",""coordinates"":[-122.05,37.01]}"
Vilashini Cooppan,Associate Professor,1,"University of California, Santa Cruz",1996,http://ppfp.ucop.edu/info/,37.01,-122.05,415,56:02.8,11:51.9,1/1/1967 0:00,-122.05,37.01,"{""type"":""Point"",""coordinates"":[-122.05,37.01]}"
Debra Kim Lewis,Professor,1,"University of California, Santa Cruz",1990,http://ppfp.ucop.edu/info/,37.01,-122.05,416,56:02.8,11:51.9,1/1/1967 0:00,-122.05,37.01,"{""type"":""Point"",""coordinates"":[-122.05,37.01]}"
Susan Y. Schwartz,Professor,1,"University of California, Santa Cruz",1988,http://ppfp.ucop.edu/info/,37.01,-122.05,417,56:02.8,11:51.9,1/1/1967 0:00,-122.05,37.01,"{""type"":""Point"",""coordinates"":[-122.05,37.01]}"
Peggy Estrada,Associate Research Scientis,1,"University of California, Santa Cruz",1988,http://ppfp.ucop.edu/info/,37.01,-122.05,418,56:02.8,11:51.9,1/1/1967 0:00,-122.05,37.01,"{""type"":""Point"",""coordinates"":[-122.05,37.01]}"
Ann Aurelia Lopez,Research Associate,1,"University of California, Santa Cruz",2004,http://ppfp.ucop.edu/info/,37.01,-122.05,419,56:02.8,11:51.9,1/1/1967 0:00,-122.05,37.01,"{""type"":""Point"",""coordinates"":[-122.05,37.01]}"
Herman Gray,Professor,1,"University of California, Santa Cruz",1989,http://ppfp.ucop.edu/info/,37.01,-122.05,420,56:02.8,11:51.9,1/1/1967 0:00,-122.05,37.01,"{""type"":""Point"",""coordinates"":[-122.05,37.01]}"
Christine T. Reif,Postdoctoral Scholar,1,"University of California, Santa Cruz",2005,http://ppfp.ucop.edu/info/,37.01,-122.05,421,56:02.8,11:51.9,1/1/1967 0:00,-122.05,37.01,"{""type"":""Point"",""coordinates"":[-122.05,37.01]}"
Susan Lambrecht,Associate Professor,1,San Jose State,2002,http://ppfp.ucop.edu/info/,37.34,-121.88,422,56:02.8,11:51.9,1/1/1967 0:00,-121.88,37.34,"{""type"":""Point"",""coordinates"":[-121.88,37.34]}"
Sara Benson,Lecturer,1,San Jose State University,2011,http://ppfp.ucop.edu/info/,37.34,-121.88,423,56:02.8,11:51.9,1/1/1967 0:00,-121.88,37.34,"{""type"":""Point"",""coordinates"":[-121.88,37.34]}"
Mayya Tokman,Assistant Professor,1,UC Merced,2003,http://ppfp.ucop.edu/info/,37.31,-120.48,424,56:02.8,11:51.9,1/1/1967 0:00,-120.48,37.31,"{""type"":""Point"",""coordinates"":[-120.48,37.31]}"
Lilian P. Davila,Assistant Professor,1,UC Merced,2006,http://ppfp.ucop.edu/info/,37.31,-120.48,425,56:02.8,11:51.9,1/1/1967 0:00,-120.48,37.31,"{""type"":""Point"",""coordinates"":[-120.48,37.31]}"
Asmeret Asefaw Berhe,Assistant Professor,1,UC Merced,2007,http://ppfp.ucop.edu/info/,37.31,-120.48,426,56:02.8,11:51.9,1/1/1967 0:00,-120.48,37.31,"{""type"":""Point"",""coordinates"":[-120.48,37.31]}"
Ricardo Cisneros,Assistant Professor,1,UC Merced,2009,http://ppfp.ucop.edu/info/,37.31,-120.48,427,56:02.8,11:51.9,1/1/1967 0:00,-120.48,37.31,"{""type"":""Point"",""coordinates"":[-120.48,37.31]}"
Rudy Martin Ortiz,Associate Professor,1,"University of California, Merced",2001,http://ppfp.ucop.edu/info/,37.31,-120.48,428,56:02.8,11:51.9,1/1/1967 0:00,-120.48,37.31,"{""type"":""Point"",""coordinates"":[-120.48,37.31]}"
Jeffrey Kazuo Yoshimi,Associate Professor,1,"University of California, Merced",2002,http://ppfp.ucop.edu/info/,37.31,-120.48,429,56:02.8,11:51.9,1/1/1967 0:00,-120.48,37.31,"{""type"":""Point"",""coordinates"":[-120.48,37.31]}"
Robin Maria DeLugan,Assistant Professor,1,"University of California, Merced",2004,http://ppfp.ucop.edu/info/,37.31,-120.48,430,56:02.8,11:51.9,1/1/1967 0:00,-120.48,37.31,"{""type"":""Point"",""coordinates"":[-120.48,37.31]}"
Wesley G. Moons,Founder and CEO,1,Moons Analytics,2008,http://ppfp.ucop.edu/info/,38.63,-121.67,431,56:02.8,11:51.9,1/1/1967 0:00,-121.67,38.63,"{""type"":""Point"",""coordinates"":[-121.67,38.63]}"
Lucrezia Miranda,Independent Research,1,still on the market,2009,http://ppfp.ucop.edu/info/,38.63,-121.67,432,56:02.8,11:51.9,1/1/1967 0:00,-121.67,38.63,"{""type"":""Point"",""coordinates"":[-121.67,38.63]}"
Abigail Thompson,Professor,1,UC Davis,1987,http://ppfp.ucop.edu/info/,38.63,-121.67,433,56:02.8,11:51.9,1/1/1967 0:00,-121.67,38.63,"{""type"":""Point"",""coordinates"":[-121.67,38.63]}"
Ralph Aldredge,Professor,1,UC Davis,1990,http://ppfp.ucop.edu/info/,38.63,-121.67,434,56:02.8,11:51.9,1/1/1967 0:00,-121.67,38.63,"{""type"":""Point"",""coordinates"":[-121.67,38.63]}"
Martha Macri,Associate Professor,1,UC Davis,1990,http://ppfp.ucop.edu/info/,38.63,-121.67,435,56:02.8,11:51.9,1/1/1967 0:00,-121.67,38.63,"{""type"":""Point"",""coordinates"":[-121.67,38.63]}"
Victor Montejo,Professor,1,UC Davis,1994,http://ppfp.ucop.edu/info/,38.63,-121.67,436,56:02.8,11:51.9,1/1/1967 0:00,-121.67,38.63,"{""type"":""Point"",""coordinates"":[-121.67,38.63]}"
Ana Elena Vasquez,Associate Adj. Professor,1,UC Davis,1991,http://ppfp.ucop.edu/info/,38.63,-121.67,437,56:02.8,11:51.9,1/1/1967 0:00,-121.67,38.63,"{""type"":""Point"",""coordinates"":[-121.67,38.63]}"
Julie Sze,Associate Professor,1,UC Davis,2003,http://ppfp.ucop.edu/info/,38.63,-121.67,438,56:02.8,11:51.9,1/1/1967 0:00,-121.67,38.63,"{""type"":""Point"",""coordinates"":[-121.67,38.63]}"
Julio E. Lopez-Maldonado,Postdoctoral Scholar,1,UC Davis,2006,http://ppfp.ucop.edu/info/,38.63,-121.67,439,56:02.8,11:51.9,1/1/1967 0:00,-121.67,38.63,"{""type"":""Point"",""coordinates"":[-121.67,38.63]}"
Louie Hao-Yih Yang,Assistant Professor,1,UC Davis,2006,http://ppfp.ucop.edu/info/,38.63,-121.67,440,56:02.8,11:51.9,1/1/1967 0:00,-121.67,38.63,"{""type"":""Point"",""coordinates"":[-121.67,38.63]}"
Elisabeth Rose Middleton,Assistant Professor,1,UC Davis,2008,http://ppfp.ucop.edu/info/,38.63,-121.67,441,56:02.8,11:51.9,1/1/1967 0:00,-121.67,38.63,"{""type"":""Point"",""coordinates"":[-121.67,38.63]}"
Brian Ricky Johnson,Assistant Professor,1,UC Davis,2009,http://ppfp.ucop.edu/info/,38.63,-121.67,442,56:02.8,11:51.9,1/1/1967 0:00,-121.67,38.63,"{""type"":""Point"",""coordinates"":[-121.67,38.63]}"
Jessica Bissett Perea,Assistant Professor,1,UC Davis,2011,http://ppfp.ucop.edu/info/,38.63,-121.67,443,56:02.8,11:51.9,1/1/1967 0:00,-121.67,38.63,"{""type"":""Point"",""coordinates"":[-121.67,38.63]}"
Carolina Balazs,PPFP Fellow,1,UC Davis,2012,http://ppfp.ucop.edu/info/,38.63,-121.67,444,56:02.8,11:51.9,1/1/1967 0:00,-121.67,38.63,"{""type"":""Point"",""coordinates"":[-121.67,38.63]}"
Susette S. Min,Associate Professor,1,"University of California, Davis",1999,http://ppfp.ucop.edu/info/,38.63,-121.67,445,56:02.8,11:51.9,1/1/1967 0:00,-121.67,38.63,"{""type"":""Point"",""coordinates"":[-121.67,38.63]}"
Adela I de la Torre,Vice Chancellor,1,"University of California, Davis",1986,http://ppfp.ucop.edu/info/,38.63,-121.67,446,56:02.8,11:51.9,1/1/1967 0:00,-121.67,38.63,"{""type"":""Point"",""coordinates"":[-121.67,38.63]}"
Carlito Lebrilla,Professor,1,"University of California, Davis",1988,http://ppfp.ucop.edu/info/,38.63,-121.67,447,56:02.8,11:51.9,1/1/1967 0:00,-121.67,38.63,"{""type"":""Point"",""coordinates"":[-121.67,38.63]}"
Steven Crum,Professor,1,"University of California, Davis",1990,http://ppfp.ucop.edu/info/,38.63,-121.67,448,56:02.8,11:51.9,1/1/1967 0:00,-121.67,38.63,"{""type"":""Point"",""coordinates"":[-121.67,38.63]}"
Tessa Michelle Hill,Assistant Professor,1,"University of California, Davis",2004,http://ppfp.ucop.edu/info/,38.63,-121.67,449,56:02.8,11:51.9,1/1/1967 0:00,-121.67,38.63,"{""type"":""Point"",""coordinates"":[-121.67,38.63]}"
Lorena Navarro,Assistant Professor,1,"University of California, Davis",2004,http://ppfp.ucop.edu/info/,38.63,-121.67,450,56:02.8,11:51.9,1/1/1967 0:00,-121.67,38.63,"{""type"":""Point"",""coordinates"":[-121.67,38.63]}"
Jason MacCannell,Independent Scholar,1,"University of California, Davis",2005,http://ppfp.ucop.edu/info/,38.63,-121.67,451,56:02.8,11:51.9,1/1/1967 0:00,-121.67,38.63,"{""type"":""Point"",""coordinates"":[-121.67,38.63]}"
Grace Wang,Assistant Professor,1,"University of California, Davis",2005,http://ppfp.ucop.edu/info/,38.63,-121.67,452,56:02.8,11:51.9,1/1/1967 0:00,-121.67,38.63,"{""type"":""Point"",""coordinates"":[-121.67,38.63]}"
Miranda S. Fram,Research Chemist,1,US Geological Survey,1993,http://ppfp.ucop.edu/info/,38.59,-121.42,453,56:02.8,11:51.9,1/1/1967 0:00,-121.42,38.59,"{""type"":""Point"",""coordinates"":[-121.42,38.59]}"
Ashley Elisabeth Maynard,Assistant Professor,1,University of Hawai'I at Manoa,1999,http://ppfp.ucop.edu/info/,21.35,-157.79,454,56:02.8,11:51.9,1/1/1967 0:00,-157.79,21.35,"{""type"":""Point"",""coordinates"":[-157.79,21.35]}"
Laura O'Rourke,Research Associate,1,University of Hawaii at Manoa -,2005,http://ppfp.ucop.edu/info/,21.35,-157.79,455,56:02.8,11:51.9,1/1/1967 0:00,-157.79,21.35,"{""type"":""Point"",""coordinates"":[-157.79,21.35]}"
Elizabeth Ann Castle,Co-Director and Producer,1,Warrior Women Motion Pictures,2002,http://ppfp.ucop.edu/info/,45.7,-123.21,456,56:02.8,11:51.9,1/1/1967 0:00,-123.21,45.7,"{""type"":""Point"",""coordinates"":[-123.21,45.7]}"
Elizabeth Batya Safran,Associate Professor,1,Lewis and Clark College,1998,http://ppfp.ucop.edu/info/,45.48,-122.65,457,56:02.8,11:51.9,1/1/1967 0:00,-122.65,45.48,"{""type"":""Point"",""coordinates"":[-122.65,45.48]}"
Brian Klopotek,Associate Professor,1,University of Oregon,2007,http://ppfp.ucop.edu/info/,44.05,-123.02,458,56:02.8,11:51.9,1/1/1967 0:00,-123.02,44.05,"{""type"":""Point"",""coordinates"":[-123.02,44.05]}"
Tamara Lea Spira,Visiting Assistant Professor,1,University of Oregon,2009,http://ppfp.ucop.edu/info/,44.05,-123.02,459,56:02.8,11:51.9,1/1/1967 0:00,-123.02,44.05,"{""type"":""Point"",""coordinates"":[-123.02,44.05]}"
Benjamin Jose Aleman,Assistant Professor,1,University of Oregon,2011,http://ppfp.ucop.edu/info/,44.05,-123.02,460,56:02.8,11:51.9,1/1/1967 0:00,-123.02,44.05,"{""type"":""Point"",""coordinates"":[-123.02,44.05]}"
Suzanne Maria Wash,Owner/Consultant,1,SM Wash Enterprises,2000,http://ppfp.ucop.edu/info/,43.58,-123.8,461,56:02.8,11:51.9,1/1/1967 0:00,-123.8,43.58,"{""type"":""Point"",""coordinates"":[-123.8,43.58]}"
